Name,Count,Rank
Memorial Sloan,15399,1
MGH,11508,2
Stanford,8943,3
BJC Healthcare,8461,4
U Pennsylvania,7765,5
Ohio State,6909,6
Mt Sinai,5650,7
Moffitt,5188,8
Brigham & Women,5081,9
Yale,5062,10
Geisinger,4585,11
Boston Childrens,4579,12
Lahey,4481,13
Loyola,4294,14
CHOP,4052,15
Jefferson University Physicians,3903,16
Froedtert,3370,17
U Rochester Med Ctr,3308,18
BIDMC,3105,19
UW Medical Ctr (Washington State),3082,20
U Mississippi Med Ctr,2653,21
Stony Brook,2510,22
UCLA,2432,23
MUSC,2236,24
Lifespan,2201,25
U New Mexico,2198,26
NYPH,2126,27
Henry Ford,2124,28
Nebraska,2090,29
U of Michigan,1966,30
Weill Cornell,1793,31
Shands JAX (U of Florida),1683,32
Dartmouth Hitchcock,1619,33
Georgetown,1479,34
Tufts,1468,35
CHLA,1457,36
Northshore,1180,37
Temple University Hospital,1175,38
Continuum,1096,39
Children\'s National Med Ctr,1095,40
Cook,1093,41
BMC,1033,42
U Maryland Med Sys,1024,43
Montefiore,932,44
Baystate,929,45
UC Irvine Med Ctr,865,46
Sarasota,859,47
OLOL,831,48
Northwestern,797,49
U Mass Memorial Health Care,772,50
Rutland Regional Med Ctr,677,51
Baylor Health Care System,545,52
Jefferson Radiology,542,53
Union Memorial Hospital,499,54
Washington Hospital Center (D.C),463,55
NOTS,454,56
Valley Health – Virginia,413,57
University Health System,376,58
Methodist Le Bonheur Healthcare,369,59
Alamance,362,60
Westchester Med Ctr,336,61
Fox Chase,322,62
Fletcher Allen,304,63
Saint Francis,135,64
University Medical Ctr (demo),104,65
Carecore,60,66
Integris,30,67
Valley Baptist - Texas,14,68
Clinical Demo,10,69
Parkland,10,70
Intermountain Healthcare,6,71
MD Anderson,2,72
