Name,Count,Rank
Memorial Sloan,12943,1
MGH,12078,2
Stanford,10819,3
U Pennsylvania,8688,4
BJC Healthcare,8469,5
MD Anderson,7581,6
U of Michigan,7055,7
Moffitt,6668,8
Ohio State,6606,9
Brigham & Women,6220,10
Mt Sinai,5851,11
Froedtert,5849,12
Geisinger,5222,13
UW Medical Ctr (Washington State),5137,14
Yale,4969,15
Lahey,4677,16
Loyola,4550,17
Boston Childrens,4457,18
Jefferson University Physicians,4446,19
CHOP,4390,20
MUSC,3984,21
BIDMC,3637,22
UCLA,3564,23
U Rochester Med Ctr,3281,24
U New Mexico,3184,25
NYPH,3114,26
Stony Brook,2836,27
U Mississippi Med Ctr,2638,28
Henry Ford,2371,29
Lifespan,2142,30
Northwestern,2130,31
Georgetown,1947,32
Fox Chase,1916,33
Nebraska,1843,34
Weill Cornell,1698,35
Shands JAX (U of Florida),1666,36
Tufts,1568,37
Dartmouth Hitchcock,1552,38
U Maryland Med Sys,1423,39
Temple University Hospital,1300,40
UC Irvine Med Ctr,1296,41
Northshore,1224,42
Children\'s National Med Ctr,1140,43
BMC,1115,44
U Mass Memorial Health Care,1083,45
Cook,1062,46
Sarasota,1026,47
Continuum,985,48
CHLA,973,49
Rutland Regional Med Ctr,929,50
OLOL,886,51
Montefiore,856,52
Baylor Health Care System,757,53
Baystate,707,54
Union Memorial Hospital,555,55
NOTS,546,56
Jefferson Radiology,505,57
Valley Health – Virginia,493,58
Integris,462,59
University Health System,451,60
Washington Hospital Center (D.C),419,61
Westchester Med Ctr,411,62
Methodist Le Bonheur Healthcare,377,63
Turville Bay,354,64
Alamance,300,65
Fletcher Allen,289,66
NYU,282,67
Intermountain Healthcare,137,68
Saint Francis,109,69
Carecore,82,70
University Medical Ctr (demo),82,71
Clinical Demo,39,72
Valley Baptist - Texas,3,73
