Name,Count,Rank

MGH,12541,1
Memorial Sloan,12393,2
U of Michigan,11722,3
MD Anderson,11462,4
U Pennsylvania,9858,5
Stanford,9814,6
BJC Healthcare,8812,7
Brigham & Women,8747,8
Froedtert,8619,9
Ohio State,8522,10
U Rochester Med Ctr,6963,11
Mt Sinai,5968,12
UCLA,5704,13
Moffitt,5683,14
Yale,5631,15
Boston Childrens,5075,16
Loyola,5063,17
Geisinger,4984,18
CHOP,4540,19
MUSC,4501,20
Jefferson University Physicians,4484,21
Lahey,4400,22
U New Mexico,4149,23
Northwestern,3961,24
UW Medical Ctr (Washington State),3672,25
BIDMC,3526,26
Fox Chase,3502,27
NYPH,3132,28
NYU,3007,29
Georgetown,2799,30
Stony Brook,2786,31
U Mississippi Med Ctr,2737,32
Dartmouth Hitchcock,2669,33
U Mass Memorial Health Care,2446,34
Weill Cornell,2371,35
Lifespan,2238,36
UC Irvine Med Ctr,2136,37
Henry Ford,2059,38
Shands JAX (U of Florida),1766,39
Nebraska,1765,40
Tufts,1650,41
Temple University Hospital,1569,42
Montefiore,1477,43
U Maryland Med Sys,1395,44
Continuum,1373,45
Children\'s National Med Ctr,1305,46
Cook,1272,47
BMC,1203,48
Northshore,1107,49
Baylor Health Care System,1066,50
OLOL,1006,51
Baystate,963,52
Sarasota,956,53
Rutland Regional Med Ctr,903,54
Union Memorial Hospital,901,55
CHLA,814,56
Integris,705,57
NOTS,684,58
Methodist Le Bonheur Healthcare,581,59
Nationwide Childrens – Ohio,520,60
Valley Health – Virginia,513,61
University Health System,501,62
Washington Hospital Center (D.C),489,63
WIITTS,470,64
Jefferson Radiology,408,65
Fletcher Allen,379,66
Turville Bay,343,67
Alamance,261,68
Westchester Med Ctr,238,69
Hendrick Medical Center,143,70
Saint Francis,127,71
Valley Baptist - Texas,125,72
Biogen Idec,73,73
University Medical Ctr (demo),65,74
Spartanburg Regional Healthcare System,39,75
University of Kentucky,12,76
Akron Childrens Hospital,3,77
University of Wisconsin Health,3,78
Texas Childrens Hospital,2,79
Carecore,2,80
Cambridge Health Alliance,1,81
Aspen Valley Hospital,1,82
