Name,Count,Rank

MD Anderson,14192,1
MGH,13510,2
U of Michigan,11413,3
Memorial Sloan,11130,4
U Pennsylvania,10740,5
U Rochester Med Ctr,9616,6
Brigham & Women,9426,7
Stanford,9378,8
BJC Healthcare,9319,9
Ohio State,8041,10
Froedtert,7639,11
Moffitt,6274,12
UCLA,5594,13
Mt Sinai,5594,14
Yale,5532,15
Boston Childrens,5246,16
Geisinger,5127,17
Loyola,5082,18
MUSC,4993,19
Lahey,4754,20
Jefferson University Physicians,4301,21
CHOP,4243,22
Northwestern,4145,23
BIDMC,4139,24
UW Medical Ctr (Washington State),3876,25
Fox Chase,3622,26
NYU,3239,27
NYPH,2972,28
U Mississippi Med Ctr,2933,29
Georgetown,2933,30
Stony Brook,2701,31
U New Mexico,2690,32
Lifespan,2605,33
Weill Cornell,2385,34
UC Irvine Med Ctr,2279,35
Dartmouth Hitchcock,2258,36
Tufts,1989,37
Henry Ford,1989,38
U Mass Memorial Health Care,1933,39
Nebraska,1762,40
Shands JAX (U of Florida),1650,41
Montefiore,1450,42
Temple University Hospital,1340,43
U Maryland Med Sys,1257,44
Baylor Health Care System,1186,45
Northshore,1170,46
Continuum,1133,47
Children\'s National Med Ctr,1103,48
BMC,1099,49
Cook,1062,50
Integris,1035,51
WIITTS,1016,52
OLOL,1014,53
Sarasota,1008,54
Union Memorial Hospital,938,55
Rutland Regional Med Ctr,917,56
Baystate,909,57
Nationwide Childrens – Ohio,881,58
NOTS,844,59
Methodist Le Bonheur Healthcare,624,60
Washington Hospital Center (D.C),502,61
Valley Health – Virginia,495,62
University Health System,470,63
Texas Childrens Hospital,457,64
Turville Bay,403,65
Jefferson Radiology,393,66
Alamance,346,67
Fletcher Allen,277,68
Westchester Med Ctr,177,69
CHLA,167,70
Hendrick Medical Center,156,71
Valley Baptist - Texas,136,72
Saint Francis,133,73
University of Wisconsin Health,60,74
University Medical Ctr (demo),45,75
Biogen Idec,43,76
University of Kentucky,32,77
Spartanburg Regional Healthcare System,22,78
University of Wisconsin Health - Cardio,17,79
Cambridge Health Alliance,12,80
Akron Childrens Hospital,11,81
Aspen Valley Hospital,7,82
Memorial Gulfport Hospital,4,83
