Name,Count,Rank

MD Anderson,18132,1
UCSF,14637,2
U of Michigan,14584,3
MGH,13985,4
Stanford,13354,5
U Pennsylvania,12626,6
Ohio State,11568,7
BJC Healthcare,11330,8
Froedtert,10678,9
Brigham & Women,10305,10
Yale,9730,11
U Rochester Med Ctr,8110,12
MUSC,7339,13
Moffitt,7161,14
UCLA,7099,15
Boston Childrens,6810,16
Mt Sinai,6587,17
Loyola,6336,18
Geisinger,6123,19
BIDMC,6046,20
NYU,6013,21
Jefferson University Physicians,5533,22
CHOP,5187,23
Northwestern,5068,24
Lahey,4879,25
UW Medical Ctr (Washington State),4801,26
University of Kentucky,4529,27
Stony Brook,4298,28
Fox Chase,3894,29
U New Mexico,3442,30
U Mississippi Med Ctr,3393,31
NYPH,3327,32
Georgetown,3257,33
UC Irvine Med Ctr,3162,34
Weill Cornell,3069,35
Dartmouth Hitchcock,2942,36
U Mass Memorial Health Care,2903,37
Henry Ford,2790,38
Memorial Sloan,2673,39
Lifespan,2546,40
Tufts,2479,41
Texas Childrens Hospital,2332,42
Nebraska,2312,43
Northshore,1970,44
Shands JAX (U of Florida),1892,45
Montefiore,1772,46
WIITTS,1749,47
Dallas Childrens,1562,48
Temple University Hospital,1515,49
Cook,1491,50
Baylor Health Care System,1481,51
Nationwide Childrens – Ohio,1407,52
Continuum,1359,53
BMC,1349,54
Sarasota,1308,55
U Maryland Med Sys,1296,56
Children\'s National Med Ctr,1289,57
OLOL,1215,58
Baystate,1120,59
Integris,1042,60
Rutland Regional Med Ctr,1007,61
Union Memorial Hospital,887,62
Valley Health – Virginia,711,63
NOTS,646,64
Methodist Le Bonheur Healthcare,626,65
Alamance,591,66
Washington Hospital Center (D.C),584,67
University Health System,563,68
CHLA,538,69
Jefferson Radiology,426,70
Fletcher Allen,387,71
Turville Bay,360,72
Westchester Med Ctr,304,73
Hendrick Medical Center,240,74
UMC Lubbock,157,75
Saint Francis,145,76
Valley Baptist - Texas,97,77
Carecore,83,78
Marshfield Clinic,74,79
Spartanburg Regional Healthcare System,65,80
Aspen Valley Hospital,57,81
Biogen Idec,43,82
University of Wisconsin Health,23,83
University Medical Ctr (demo),19,84
Akron Childrens Hospital,16,85
Cambridge Health Alliance,1,86
