Name,Count,Rank

Memorial Sloan,13937,1
MGH,13780,2
Stanford,11543,3
BJC Healthcare,9892,4
U of Michigan,9755,5
U Pennsylvania,9570,6
MD Anderson,9411,7
Froedtert,8854,8
Ohio State,7831,9
Brigham & Women,7727,10
Moffitt,6167,11
Mt Sinai,5950,12
UCLA,5342,13
Yale,5211,14
U New Mexico,4812,15
Loyola,4785,16
Boston Childrens,4661,17
Geisinger,4625,18
UW Medical Ctr (Washington State),4408,19
MUSC,4387,20
CHOP,4101,21
Lahey,4086,22
Jefferson University Physicians,4062,23
Fox Chase,3803,24
BIDMC,3691,25
NYPH,3611,26
U Rochester Med Ctr,3277,27
Stony Brook,2994,28
U Mississippi Med Ctr,2720,29
Northwestern,2670,30
NYU,2407,31
Henry Ford,2317,32
Lifespan,2270,33
Nebraska,2259,34
Georgetown,2189,35
Weill Cornell,2169,36
Dartmouth Hitchcock,2007,37
Tufts,1961,38
Shands JAX (U of Florida),1930,39
UC Irvine Med Ctr,1674,40
U Maryland Med Sys,1344,41
Temple University Hospital,1323,42
U Mass Memorial Health Care,1259,43
Cook,1225,44
Northshore,1145,45
Continuum,1121,46
BMC,1077,47
Sarasota,1065,48
Children\'s National Med Ctr,1031,49
Montefiore,1000,50
CHLA,987,51
Baystate,987,52
OLOL,975,53
Baylor Health Care System,947,54
Rutland Regional Med Ctr,831,55
NOTS,739,56
Union Memorial Hospital,655,57
Methodist Le Bonheur Healthcare,602,58
Valley Health – Virginia,530,59
Jefferson Radiology,496,60
Integris,495,61
University Health System,392,62
Turville Bay,390,63
Washington Hospital Center (D.C),313,64
Westchester Med Ctr,279,65
Fletcher Allen,252,66
Alamance,241,67
Saint Francis,122,68
Carecore,63,69
University Medical Ctr (demo),50,70
University of Kentucky,32,71
Biogen Idec,30,72
Hendrick Medical Center,13,73
Clinical Demo,12,74
WIITTS,6,75
University of Wisconsin Health,5,76
Akron Childrens Hospital,4,77
Valley Baptist - Texas,1,78
Memorial Gulfport Hospital,1,79
