Name,Count,Rank

MD Anderson,16651,1
MGH,13507,2
U of Michigan,12704,3
Stanford,12359,4
U Pennsylvania,12054,5
BJC Healthcare,10917,6
Ohio State,10403,7
Brigham & Women,10253,8
UCSF,10016,9
Memorial Sloan,9916,10
Yale,9521,11
Froedtert,9212,12
U Rochester Med Ctr,6863,13
Boston Childrens,6704,14
Moffitt,6507,15
UCLA,6424,16
MUSC,5977,17
Mt Sinai,5880,18
Geisinger,5674,19
Loyola,5554,20
BIDMC,5281,21
Jefferson University Physicians,5062,22
NYU,4738,23
Northwestern,4727,24
UW Medical Ctr (Washington State),4550,25
Lahey,4496,26
CHOP,4308,27
Stony Brook,4079,28
Fox Chase,3477,29
NYPH,3357,30
University of Kentucky,3267,31
U Mass Memorial Health Care,3046,32
U Mississippi Med Ctr,3009,33
Georgetown,2943,34
UC Irvine Med Ctr,2839,35
Dartmouth Hitchcock,2823,36
Henry Ford,2741,37
Weill Cornell,2700,38
Lifespan,2624,39
U New Mexico,2567,40
Texas Childrens Hospital,2462,41
Tufts,2075,42
Nebraska,2027,43
Northshore,1894,44
Montefiore,1636,45
Shands JAX (U of Florida),1626,46
Dallas Childrens,1427,47
Temple University Hospital,1392,48
WIITTS,1378,49
Cook,1335,50
Children\'s National Med Ctr,1273,51
Baylor Health Care System,1260,52
BMC,1186,53
Union Memorial Hospital,1177,54
Continuum,1088,55
Nationwide Childrens – Ohio,1071,56
Baystate,1014,57
U Maryland Med Sys,989,58
OLOL,977,59
Sarasota,951,60
Rutland Regional Med Ctr,947,61
Integris,928,62
Methodist Le Bonheur Healthcare,789,63
NOTS,733,64
Valley Health – Virginia,588,65
Washington Hospital Center (D.C),549,66
University Health System,542,67
Turville Bay,413,68
Alamance,391,69
Westchester Med Ctr,391,70
Jefferson Radiology,341,71
Fletcher Allen,313,72
Hendrick Medical Center,182,73
Saint Francis,107,74
Aspen Valley Hospital,81,75
Valley Baptist - Texas,65,76
University of Wisconsin Health,61,77
Spartanburg Regional Healthcare System,53,78
Biogen Idec,45,79
CHLA,33,80
Akron Childrens Hospital,20,81
University Medical Ctr (demo),14,82
Cambridge Health Alliance,9,83
Carecore,9,84
UMC Lubbock,5,85
University of Wisconsin Health - Cardio,3,86
,295580,
