Name,Count,Rank

MD Anderson,15918,1
MGH,13064,2
U of Michigan,12844,3
U Pennsylvania,11216,4
BJC Healthcare,10732,5
Stanford,10694,6
Yale,10066,7
Ohio State,9967,8
Memorial Sloan,9943,9
Froedtert,8990,10
Brigham & Women,8969,11
U Rochester Med Ctr,6667,12
UCLA,6273,13
Boston Childrens,6028,14
MUSC,5734,15
Mt Sinai,5732,16
Moffitt,5637,17
Geisinger,5352,18
Loyola,5178,19
Lahey,4646,20
Jefferson University Physicians,4517,21
Northwestern,4449,22
NYU,4157,23
UW Medical Ctr (Washington State),4124,24
BIDMC,3978,25
CHOP,3966,26
NYPH,3394,27
Stony Brook,3359,28
U Mississippi Med Ctr,3218,29
Fox Chase,3028,30
Georgetown,2824,31
Weill Cornell,2761,32
U Mass Memorial Health Care,2745,33
UC Irvine Med Ctr,2664,34
U New Mexico,2485,35
Dartmouth Hitchcock,2323,36
Lifespan,2309,37
Tufts,2235,38
Henry Ford,2207,39
Nebraska,1915,40
Texas Childrens Hospital,1847,41
University of Kentucky,1598,42
Dallas Childrens,1587,43
Montefiore,1531,44
Temple University Hospital,1468,45
Shands JAX (U of Florida),1441,46
Baylor Health Care System,1380,47
WIITTS,1371,48
Northshore,1309,49
Children\'s National Med Ctr,1215,50
U Maryland Med Sys,1210,51
Cook,1183,52
BMC,1156,53
Nationwide Childrens – Ohio,1094,54
Continuum,1043,55
Sarasota,1002,56
Integris,952,57
Union Memorial Hospital,949,58
OLOL,941,59
Rutland Regional Med Ctr,900,60
Baystate,766,61
Methodist Le Bonheur Healthcare,758,62
NOTS,712,63
Washington Hospital Center (D.C),695,64
Valley Health – Virginia,634,65
University Health System,633,66
Jefferson Radiology,400,67
Fletcher Allen,368,68
Turville Bay,337,69
Alamance,279,70
Westchester Med Ctr,247,71
Hendrick Medical Center,128,72
Saint Francis,112,73
CHLA,100,74
Valley Baptist - Texas,57,75
Spartanburg Regional Healthcare System,40,76
Aspen Valley Hospital,39,77
UCSF,37,78
Akron Childrens Hospital,28,79
University of Wisconsin Health,19,80
University Medical Ctr (demo),11,81
Biogen Idec,10,82
Cambridge Health Alliance,3,83
Carecore,2,84
