Name,Count,Rank

MD Anderson,15260,1
MGH,13520,2
U of Michigan,12062,3
Memorial Sloan,11892,4
Stanford,11817,5
U Pennsylvania,11675,6
Froedtert,10666,7
BJC Healthcare,10089,8
Brigham & Women,9604,9
Ohio State,9304,10
U Rochester Med Ctr,8966,11
Moffitt,6646,12
UCLA,6384,13
Yale,6303,14
Mt Sinai,6287,15
Boston Childrens,5764,16
Geisinger,5724,17
MUSC,5348,18
Jefferson University Physicians,5329,19
Loyola,5220,20
Northwestern,4612,21
U New Mexico,4579,22
Lahey,4550,23
UW Medical Ctr (Washington State),4480,24
CHOP,4207,25
NYU,3693,26
BIDMC,3650,27
Fox Chase,3636,28
NYPH,3447,29
U Mississippi Med Ctr,3067,30
Georgetown,3021,31
Stony Brook,2930,32
Weill Cornell,2825,33
Dartmouth Hitchcock,2540,34
Tufts,2406,35
U Mass Memorial Health Care,2403,36
Lifespan,2403,37
UC Irvine Med Ctr,2331,38
Henry Ford,2152,39
Texas Childrens Hospital,1996,40
Nebraska,1802,41
Temple University Hospital,1617,42
Children\'s National Med Ctr,1477,43
Baylor Health Care System,1356,44
Montefiore,1353,45
WIITTS,1328,46
Shands JAX (U of Florida),1297,47
BMC,1235,48
Cook,1202,49
Northshore,1194,50
Continuum,1191,51
Baystate,1084,52
U Maryland Med Sys,1033,53
Union Memorial Hospital,995,54
OLOL,952,55
Nationwide Childrens – Ohio,949,56
Rutland Regional Med Ctr,929,57
Integris,912,58
Sarasota,879,59
NOTS,767,60
Methodist Le Bonheur Healthcare,722,61
Valley Health – Virginia,534,62
Jefferson Radiology,489,63
Fletcher Allen,474,64
University Health System,456,65
Washington Hospital Center (D.C),444,66
Turville Bay,335,67
Westchester Med Ctr,232,68
Alamance,205,69
University of Kentucky,198,70
Hendrick Medical Center,191,71
Saint Francis,122,72
Valley Baptist - Texas,102,73
Aspen Valley Hospital,79,74
Biogen Idec,75,75
CHLA,74,76
Spartanburg Regional Healthcare System,42,77
University Medical Ctr (demo),27,78
Akron Childrens Hospital,25,79
University of Wisconsin Health,21,80
University of Wisconsin Health - Cardio,15,81
Cambridge Health Alliance,9,82
UCSF,6,83
Dallas Childrens,6,84
Carecore,3,85
Memorial Gulfport Hospital,1,86
,271227,
